# units: chamber.pressure[Pa] propellants.mixture_ratio[-] chamber.eta_c_star[-] nozzle.throat_radius[m] nozzle.expansion_ratio[-] propellants.fuel_temperature[K] cooling.wall_thickness[m] cooling.wall_conductivity[W/(m K)] cooling.channel_height[m] cooling.bartz_multiplier[-] performance.thrust[N] performance.isp[s] performance.isp_vacuum[s] performance.mdot[kg/s] performance.exit_pressure[Pa] chamber.temperature[K] chamber.c_star[m/s] cooling.max_wall_temperature[K] cooling.max_heat_flux[W/m^2] cooling.pressure_drop[Pa] cooling.outlet_temperature[K] cooling_energy_residual[-] wall_limit_exceeded[-] coolant_boiling[-] separation_predicted[-] shock_in_nozzle[-] status[-]
chamber.pressure,propellants.mixture_ratio,chamber.eta_c_star,nozzle.throat_radius,nozzle.expansion_ratio,propellants.fuel_temperature,cooling.wall_thickness,cooling.wall_conductivity,cooling.channel_height,cooling.bartz_multiplier,performance.thrust,performance.isp,performance.isp_vacuum,performance.mdot,performance.exit_pressure,chamber.temperature,chamber.c_star,cooling.max_wall_temperature,cooling.max_heat_flux,cooling.pressure_drop,cooling.outlet_temperature,cooling_energy_residual,wall_limit_exceeded,coolant_boiling,separation_predicted,shock_in_nozzle,status
5539664.497,3.403189559,0.9634217736,0.07025787899,19.97891577,114.5730451,0.0005284363105,297.3980741,0.005186708951,1.083849291,135782.1823,285.0849271,350.9962369,48.56773528,34712.05981,3525.474955,1768.787061,854.4903564,52342855.85,3348175.576,519.3840421,4.138067806e-10,1,0,1,0,ok
5564485.407,3.407404481,0.9360588635,0.07007070739,20.16480518,111.1293783,0.000622815568,315.2498041,0.005062050182,0.9694405104,140206.8272,286.1948517,350.5267215,49.95588636,34492.01244,3526.067728,1718.150549,791.601568,49772711.16,3364444.708,479.2989341,3.270290329e-09,0,0,1,0,ok
5350106.58,3.360536014,0.9659994411,0.06992715184,20.11142133,108.5713806,0.0005638715256,322.333361,0.005087725282,0.9090333474,128101.2695,282.267678,351.2453679,46.27768306,32799.23913,3516.09651,1775.956722,736.3431406,45453841.27,2692187.611,462.8580088,2.146093106e-11,0,0,1,0,ok
5576490.189,3.395471922,0.9410108049,0.06986403215,20.0471151,114.7762564,0.0006699920856,367.4190303,0.004998683061,1.077088454,138959.093,286.4087026,350.6072057,49.47434866,34693.70103,3525.675585,1728.375191,827.2064694,54176705.42,3932404.671,518.4705838,2.268969842e-10,1,0,1,0,ok
5563086.874,3.403617867,0.9367834725,0.06997159552,20.16826362,111.2365923,0.0006071844804,321.8237712,0.004987923366,1.048032753,139620.3209,286.1477983,350.5677397,49.75509361,34433.11097,3525.711332,1719.775355,829.0386635,52719008.04,3833534.299,507.0497585,1.505394574e-09,1,0,1,0,ok
5616982.082,3.469738534,0.9506123221,0.07014696413,19.90849929,112.7282309,0.0005757105727,331.4875354,0.004745278179,1.080060522,140188.5737,286.4818562,350.206479,49.89934211,36094.4995,3532.26094,1740.106589,830.5320389,53872717.64,4444589.977,521.1979427,1.166943483e-09,1,0,1,0,ok
5338332.958,3.407901512,0.957302919,0.0699898965,20.05209269,111.1909886,0.0005830931987,311.1514474,0.005046488588,1.299509677,129646.2753,282.6296383,350.7935571,46.77584758,33383.03693,3520.617128,1756.323722,950.3605508,58036660.47,4067792.854,590.3007684,3.509553849e-09,1,0,1,0,ok
5310977.581,3.439896971,0.9491901177,0.06995659941,20.09661839,110.3042941,0.0006074868101,333.6251891,0.004920853938,1.096007343,130085.8369,282.4650979,350.4451713,46.96177969,33467.5091,3522.415529,1738.750127,839.2914841,52043380.27,3638901.308,530.7662628,2.51812382e-09,1,0,1,0,ok
5660947.732,3.458750488,0.9679536502,0.06990304599,20.05553155,110.5891627,0.0006038981668,328.1167601,0.004918036799,0.9856788321,137474.8846,285.9790584,350.8729368,49.01945252,35901.89428,3532.334837,1772.812323,788.009101,49928628.19,3519205.312,490.2837766,2.075978284e-09,0,0,1,0,ok
5520030.181,3.368057881,0.9444462444,0.06985909352,19.916801,110.4483902,0.0005621022655,338.7834509,0.004906893712,1.256065638,136627.6739,285.8481683,350.5816104,48.73967009,34320.91884,3521.18975,1736.41941,912.2850365,59763922.63,4813908.847,573.2052953,2.709223491e-09,1,0,1,0,ok
5552067.629,3.446731329,0.969931427,0.06990734626,20.02269089,109.5274239,0.0005581246016,341.7254061,0.005013371242,0.9671297914,133922.6531,284.6893875,350.9036878,47.9691575,35173.67585,3528.764762,1777.003004,764.9994354,48754889.35,3148636.189,485.9908066,1.057574105e-10,0,0,1,0,ok
5507769.14,3.404503216,0.9704734613,0.07016230463,20.11213606,111.1539838,0.0005983750179,310.1475772,0.00516378752,0.7946844749,133199.0045,284.0522775,351.2616239,47.81696724,34234.81915,3524.457128,1781.358232,678.7398186,41696115.75,2291084.783,418.2782809,3.415695363e-10,0,0,1,0,ok
5640253.566,3.419411311,0.9509141134,0.0698510804,19.98413158,108.519367,0.0005652827021,320.9925084,0.004753692068,1.158802427,139347.3796,286.7341645,350.6014794,49.55627887,35486.50406,3528.610072,1744.600806,875.8808671,56791571.52,4900232.63,544.4645794,5.126180748e-10,1,0,1,0,ok
5476400.663,3.471281153,0.9656346905,0.07013922621,20.04403658,111.4380076,0.0005234413083,319.4191302,0.004805036384,0.9459237372,133324.9027,283.8200741,350.6399164,47.90132104,34932.25602,3528.827127,1766.930783,753.5752977,47487330.31,3349594.625,479.1175148,3.446948671e-09,0,0,1,0,ok
5549973.159,3.32924347,0.9446215543,0.06990285385,20.0697243,108.6665438,0.0005972924223,326.9125207,0.004951883606,0.9859188457,137292.5832,285.8694388,350.8701873,48.97322135,33711.30767,3517.383872,1739.690119,784.5408918,50525268.19,3616263.907,483.1301095,7.721804646e-10,0,0,1,0,ok
5641460.414,3.442333196,0.9733495692,0.06989055204,20.06645842,111.5918218,0.0005604790979,302.6452228,0.005002535368,1.278513391,135891.2398,285.5584188,351.1242639,48.52614784,35574.33195,3530.789211,1784.031599,949.7101674,58971871.63,4418211.398,582.6131138,1.197895571e-09,1,0,1,0,ok
5538536.113,3.393164798,0.9616301325,0.07017735867,19.96472022,110.7897799,0.000554130766,297.7220345,0.004922222089,0.9675233463,135687.1335,285.1664918,350.9449327,48.51985555,34615.60509,3524.126073,1766.116719,784.0822807,48619084.65,3391109.886,479.8902342,2.718306869e-09,0,0,1,0,ok
