# units: time[s] pressure[Pa] temperature[K] mixture_ratio[-] mass[kg] mass_oxidizer[kg] mass_fuel[kg] mdot_ox_in[kg/s] mdot_fuel_in[kg/s] mdot_out[kg/s] c_star[m/s] gamma_s[-] eta_heat[-] thrust[N] molar_mass[kg/mol] density[kg/m^3] choked[-] inlet_mr_clamped[-]
time,pressure,temperature,mixture_ratio,mass,mass_oxidizer,mass_fuel,mdot_ox_in,mdot_fuel_in,mdot_out,c_star,gamma_s,eta_heat,thrust,molar_mass,density,choked,inlet_mr_clamped
0,101325,300,3.4,0.01367689016,0.01056850603,0.003108384128,0,0,2.700375737e-06,461.9353044,1.313149884,0,0,0.02609882926,1.060186327,0,0
0.001,101325,300,3.4,0.01367689016,0.01056850603,0.003108384128,0,0,0,461.9353044,1.313149884,0.0125,0,0.02609882926,1.060186327,0,0
0.002,101325,300,3.4,0.01367689016,0.01056850603,0.003108384128,0,0,0,461.9353044,1.313149884,0.025,0,0.02609882926,1.060186327,0,0
0.003,100286.4708,291.5180474,3.237519122,0.01383289016,0.01056850603,0.003264384128,0,0.312,0,456.725869,1.314940857,0.0375,0,0.02591582576,1.07227892,0,0
0.004,96950.07785,267.2136217,2.831569761,0.01430089016,0.01056850603,0.003732384128,0,0.624,0,440.8585818,1.32038569,0.05,0,0.02540402474,1.108556699,0,0
0.005,114344.2025,302.5293631,2.454255714,0.01456984054,0.01035190136,0.004217939189,1.060571429,0.936,2.465220737,474.9515693,1.31114635,0.1015,0,0.02484489736,1.129404824,0,0
0.006,156214.9121,427.1217638,2.232019571,0.01387848019,0.009584421974,0.004294058215,2.121142857,1.248,4.092198799,574.2316654,1.271972585,0.153,0,0.024456829,1.075812905,0,0
0.007,220145.904,606.7663398,2.138624622,0.01346372968,0.009174038717,0.004289690965,3.181714286,1.56,4.787423339,707.8719926,1.192386197,0.2045,-24988.52677,0.02391692156,1.043662846,1,0
0.008,291417.7545,744.5226076,2.148972087,0.0137619782,0.009391670103,0.004370308092,4.242285714,1.872,5.500576903,815.5558726,1.152641251,0.256,-22819.55121,0.02266061918,1.066782064,1,0
0.009,374861.9455,842.0991748,2.225845655,0.01462754022,0.01009305786,0.00453448236,5.302857143,2.184,6.403665351,901.1325547,1.139920706,0.3075,-20354.12682,0.02117835445,1.133877508,1,0
0.01,475828.1263,924.121271,2.333310412,0.01585905527,0.01110130597,0.004757749297,6.363428571,2.496,7.514746097,974.7242051,1.142209894,0.359,-17455.55152,0.01985112821,1.229340395,1,0
0.011,602327.2581,1023.776597,2.446467945,0.01723654902,0.01223532769,0.005001221336,7.424,2.808,8.88215231,1043.90326,1.168043499,0.4105,-14035.00326,0.01888217524,1.336119058,1,0
0.012,793283.0424,1273.528848,2.55254375,0.01836401227,0.0131947551,0.005169257176,8.484571429,3.12,10.70430317,1140.816312,1.226822031,0.462,-9207.030908,0.01900103314,1.4235162,1,0
0.013,998659.687,1577.749938,2.646948423,0.01915331246,0.01390143877,0.005251873687,9.545142857,3.432,12.25512487,1254.427976,1.224905169,0.5135,-3499.242484,0.01950264749,1.484700084,1,0
0.014,1196634.214,1862.991718,2.727700772,0.01986584859,0.01453659879,0.005329249798,10.60571429,3.744,13.62969449,1351.516174,1.217612826,0.565,2089.522526,0.01993359609,1.539933478,1,0
0.015,1394242.671,2129.168385,2.794856444,0.0206127545,0.01518099317,0.005431761334,11.66628571,4.056,14.94354091,1436.252528,1.208651963,0.6165,7733.857479,0.02028788125,1.597831102,1,0
0.016,1594887.341,2374.901756,2.850038067,0.0214289789,0.01586306538,0.005565913511,12.72685714,4.368,16.23946721,1511.834274,1.197496004,0.668,13556.52479,0.02056582517,1.66110206,1,0
0.017,1798806.463,2595.899094,2.895467074,0.02232592248,0.0165946656,0.005731256882,13.78742857,4.68,17.52824944,1579.76267,1.183643186,0.7195,19601.30272,0.02076547189,1.730630097,1,0
0.018,2004837.511,2787.216787,2.933272482,0.02330698772,0.01738139069,0.005925597025,14.848,4.992,18.8184346,1639.991655,1.168576898,0.771,25828.22485,0.02088366613,1.80667896,1,0
0.019,2212135.173,2947.530565,2.965206432,0.0243635527,0.0182192187,0.006144334,15.90857143,5.304,20.12491239,1692.09061,1.155140955,0.8225,32142.68859,0.02092263113,1.888580308,1,0
0.02,2420647.477,3080.425032,2.992609591,0.02547328541,0.01909317615,0.006380109256,16.96914286,5.616,21.45801023,1736.553037,1.145236854,0.874,38460.65827,0.02089262855,1.97460304,1,0
0.021,2598513.774,3158.48013,3.016463181,0.02665230296,0.02001653867,0.006635764294,18.02971429,5.928,22.70569417,1761.71719,1.140459863,0.874,43761.40791,0.02087934603,2.065996498,1,0
0.022,2752903.387,3193.459817,3.037440443,0.02798140782,0.02105092594,0.006930481875,19.09028571,6.24,23.93100209,1770.826605,1.138583175,0.874,48290.27045,0.02092035605,2.169024217,1,0
0.023,2905317.834,3213.126613,3.056055326,0.02943364873,0.02217693097,0.007256717762,20.15085714,6.552,25.20605911,1774.331049,1.137628476,0.874,52730.73088,0.02098008854,2.281597027,1,0
0.024,3059563.767,3226.552163,3.072726798,0.03096082745,0.02335883768,0.007601989769,21.21142857,6.864,26.52350537,1775.720227,1.137046454,0.874,57211.44323,0.02104363523,2.399978763,1,0
0.025,3215557.159,3237.079844,3.087781873,0.03252883056,0.02457125563,0.007957574933,22.272,7.176,27.86713216,1776.273798,1.136644013,0.874,61736.73091,0.02110545176,2.521525068,1,0
0.026,3372670.238,3246.051771,3.101470872,0.03411780323,0.02579937204,0.008318431191,23.33257143,7.488,29.22520426,1776.487998,1.136342763,0.874,66291.17487,0.02116370243,2.644696861,1,0
0.027,3530421.929,3254.060089,3.113987276,0.03571707869,0.02703521453,0.00868186416,24.39314286,7.8,30.59084027,1776.565231,1.136106564,0.874,70862.07553,0.02121797393,2.768667292,1,0
0.028,3688526.045,3261.394244,3.125484143,0.03732114337,0.02827465523,0.009046488138,25.45371429,8.112,31.96032904,1776.59144,1.135916641,0.874,75441.73909,0.02126837999,2.893008968,1,0
0.029,3846824.139,3268.207296,3.13608563,0.03892721984,0.02951561105,0.009411608782,26.51428571,8.424,33.3317364,1776.602818,1.135761951,0.874,80025.8935,0.02131521291,3.017506591,1,0
0.03,4005235.297,3274.592072,3.145894642,0.0405339319,0.03075704768,0.009776884221,27.57485714,8.736,34.70408953,1776.615033,1.135635382,0.874,84612.37586,0.02135880395,3.142053483,1,0
0.031,4163719.673,3280.611324,3.154997912,0.04214060322,0.03199845535,0.01014214787,28.63542857,9.048,36.07690593,1776.634745,1.135531974,0.874,89200.144,0.02139947259,3.266597216,1,0
0.032,4322258.278,3286.311337,3.163469465,0.04374690313,0.03323958382,0.01050731932,29.696,9.36,37.44994832,1776.664582,1.135448042,0.874,93788.72306,0.02143750948,3.39111216,1,0
0.033,4480843.506,3291.729203,3.171373082,0.04535266911,0.03448030928,0.01087235983,30.75657143,9.672,38.82310565,1776.705535,1.135380818,0.874,98377.94098,0.02147317187,3.515585714,1,0
0.034,4639455.46,3296.88015,3.178764118,0.04695783318,0.03572057933,0.01123725385,31.81714286,9.984,40.19627432,1776.753424,1.135329496,0.874,102967.1577,0.02150667258,3.640012611,1,0
0.035,4798082.959,3301.77864,3.185690905,0.04856241477,0.03696040787,0.0116020069,32.87771429,10.296,41.5694165,1776.805038,1.135292675,0.874,107556.0367,0.02153820467,3.764394356,1,0
0.036,4956727.427,3306.449949,3.192195858,0.05016643716,0.03819981183,0.01196662533,33.93828571,10.608,42.94253046,1776.860602,1.135267587,0.874,112144.7256,0.02156796642,3.888732754,1,0
0.037,5115388.213,3310.917788,3.198316365,0.05176993881,0.03943881978,0.01233111903,34.99885714,10.92,44.31560447,1776.919992,1.135251222,0.874,116733.3611,0.02159615695,4.013030785,1,0
0.038,5249768.174,3321.922708,3.234549015,0.05327739468,0.04069579638,0.0125815983,36.05942857,10.92,45.52380215,1775.201071,1.134087957,0.874,120706.138,0.0217280825,4.129883672,1,0
0.039,5359702.862,3338.771695,3.305649634,0.0547279581,0.04201722622,0.01271073189,37.12,10.92,46.58361846,1771.142262,1.131878536,0.874,124058.2878,0.02197274317,4.242326449,1,0
0.04,5432847.524,3348.439429,3.359498828,0.05577162323,0.04297849599,0.01279312725,37.12,10.92,47.32195962,1767.301917,1.130456745,0.874,126290.1252,0.0221542596,4.323227844,1,0
0.041,5468146.727,3351.203428,3.382299274,0.05628676317,0.04344264649,0.01284411667,37.12,10.92,47.68538756,1765.227951,1.129927667,0.874,127355.8996,0.02223289063,4.363159752,1,0
0.042,5485434.432,3351.915697,3.392008634,0.0565411159,0.04366748094,0.01287363496,37.12,10.92,47.86498352,1764.164454,1.129717632,0.874,127874.1097,0.022267705,4.382876317,1,0
0.043,5493925.628,3352.019291,3.3961576,0.05666659641,0.04377656799,0.01289002842,37.12,10.92,47.95370507,1763.626277,1.129632217,0.874,128127.2375,0.02228331945,4.392603142,1,0
0.044,5498096.748,3351.969149,3.397934025,0.05672844248,0.0438295581,0.01289888437,37.12,10.92,47.99748733,1763.355301,1.129597273,0.874,128251.0179,0.02229038243,4.39739724,1,0
0.045,5500144.901,3351.901849,3.398695448,0.05675890077,0.04385532483,0.01290357594,37.12,10.92,48.01907104,1763.219295,1.129583013,0.874,128311.5631,0.02229359785,4.399758264,1,0
0.046,5501150.225,3351.850577,3.399022005,0.05677389151,0.0438678657,0.0129060258,37.12,10.92,48.02970247,1763.151217,1.129577238,0.874,128341.1817,0.02229506965,4.400920295,1,0
0.047,5501643.547,3351.817591,3.399162101,0.05678126575,0.04387397467,0.01290729108,37.12,10.92,48.03493569,1763.117224,1.129574926,0.874,128355.6733,0.02229574667,4.401491922,1,0
0.048,5501885.582,3351.798045,3.399222213,0.05678489177,0.04387695282,0.01290793895,37.12,10.92,48.03751032,1763.100288,1.129574015,0.874,128362.765,0.02229605956,4.401772998,1,0
0.049,5502004.317,3351.787011,3.399248008,0.05678667411,0.0438784057,0.01290826841,37.12,10.92,48.03877643,1763.091868,1.129573663,0.874,128366.2361,0.02229620481,4.40191116,1,0
0.05,5502062.561,3351.780978,3.399259078,0.05678754995,0.04387911493,0.01290843502,37.12,10.92,48.03939882,1763.087689,1.129573532,0.874,128367.9355,0.02229627254,4.401979052,1,0
0.051,5502091.13,3351.777752,3.399263828,0.05678798023,0.04387946134,0.01290851889,37.12,10.92,48.03970469,1763.085618,1.129573485,0.874,128368.7676,0.02229630425,4.402012406,1,0
0.052,5502105.143,3351.776056,3.399265867,0.05678819157,0.04387963062,0.01290856095,37.12,10.92,48.03985497,1763.084594,1.12957347,0.874,128369.1752,0.02229631915,4.402028788,1,0
0.053,5502112.016,3351.775174,3.399266742,0.05678829536,0.04387971338,0.01290858197,37.12,10.92,48.03992878,1763.084087,1.129573465,0.874,128369.3748,0.02229632618,4.402036833,1,0
0.054,5502115.388,3351.774721,3.399267117,0.05678834632,0.04387975386,0.01290859246,37.12,10.92,48.03996504,1763.083837,1.129573465,0.874,128369.4726,0.02229632951,4.402040783,1,0
0.055,5502117.041,3351.774489,3.399267278,0.05678837133,0.04387977366,0.01290859767,37.12,10.92,48.03998284,1763.083713,1.129573465,0.874,128369.5205,0.0222963311,4.402042723,1,0
0.056,5502117.852,3351.774372,3.399267347,0.05678838361,0.04387978336,0.01290860026,37.12,10.92,48.03999158,1763.083653,1.129573465,0.874,128369.544,0.02229633185,4.402043675,1,0
0.057,5502118.25,3351.774313,3.399267377,0.05678838964,0.0438797881,0.01290860154,37.12,10.92,48.03999587,1763.083623,1.129573466,0.874,128369.5555,0.02229633221,4.402044142,1,0
0.058,5502118.445,3351.774283,3.39926739,0.0567883926,0.04387979042,0.01290860218,37.12,10.92,48.03999797,1763.083608,1.129573466,0.874,128369.5612,0.02229633238,4.402044371,1,0
0.059,5502118.541,3351.774268,3.399267395,0.05678839405,0.04387979156,0.01290860249,37.12,10.92,48.039999,1763.083601,1.129573466,0.874,128369.5639,0.02229633247,4.402044484,1,0
0.06,5502118.588,3351.774261,3.399267398,0.05678839476,0.04387979212,0.01290860265,37.12,10.92,48.03999951,1763.083597,1.129573466,0.874,128369.5653,0.02229633251,4.402044539,1,0
0.061,5502118.611,3351.774257,3.399267399,0.05678839511,0.04387979239,0.01290860272,37.12,10.92,48.03999976,1763.083595,1.129573466,0.874,128369.566,0.02229633252,4.402044566,1,0
0.062,5502118.622,3351.774255,3.399267399,0.05678839528,0.04387979253,0.01290860276,37.12,10.92,48.03999988,1763.083594,1.129573466,0.874,128369.5663,0.02229633253,4.402044579,1,0
0.063,5502118.628,3351.774254,3.399267399,0.05678839537,0.04387979259,0.01290860278,37.12,10.92,48.03999994,1763.083594,1.129573466,0.874,128369.5664,0.02229633254,4.402044586,1,0
0.064,5502118.63,3351.774254,3.399267399,0.05678839541,0.04387979262,0.01290860279,37.12,10.92,48.03999997,1763.083594,1.129573466,0.874,128369.5665,0.02229633254,4.402044589,1,0
0.065,5502118.632,3351.774254,3.399267399,0.05678839543,0.04387979264,0.01290860279,37.12,10.92,48.03999999,1763.083594,1.129573466,0.874,128369.5666,0.02229633254,4.402044591,1,0
0.066,5502118.632,3351.774253,3.399267399,0.05678839544,0.04387979265,0.01290860279,37.12,10.92,48.03999999,1763.083594,1.129573466,0.874,128369.5666,0.02229633254,4.402044591,1,0
0.067,5502118.633,3351.774253,3.399267399,0.05678839545,0.04387979265,0.01290860279,37.12,10.92,48.04,1763.083594,1.129573466,0.874,128369.5666,0.02229633254,4.402044592,1,0
0.068,5502118.633,3351.774253,3.399267399,0.05678839545,0.04387979265,0.0129086028,37.12,10.92,48.04,1763.083594,1.129573466,0.874,128369.5666,0.02229633254,4.402044592,1,0
0.069,5502118.633,3351.774253,3.399267399,0.05678839545,0.04387979265,0.0129086028,37.12,10.92,48.04,1763.083594,1.129573466,0.874,128369.5666,0.02229633254,4.402044592,1,0
0.07,5502118.633,3351.774253,3.399267399,0.05678839545,0.04387979265,0.0129086028,37.12,10.92,48.04,1763.083594,1.129573466,0.874,128369.5666,0.02229633254,4.402044592,1,0
0.071,5502118.633,3351.774253,3.399267399,0.05678839545,0.04387979265,0.0129086028,37.12,10.92,48.04,1763.083594,1.129573466,0.874,128369.5666,0.02229633254,4.402044592,1,0
0.072,5502118.633,3351.774253,3.399267399,0.05678839545,0.04387979265,0.0129086028,37.12,10.92,48.04,1763.083594,1.129573466,0.874,128369.5666,0.02229633254,4.402044592,1,0
